Designator,Mid X,Mid Y,Rotation,Layer
_214,204.47,-106.71,270.0,top
_213,171.45,-106.71,270.0,top
_212,189.23,-106.71,270.0,top
_211,199.39,-106.71,270.0,top
_210,194.31,-106.71,270.0,top
_209,179.07,-106.71,270.0,top
_208,191.77,-106.71,270.0,top
_207,176.53,-106.71,270.0,top
_206,207.01,-106.71,270.0,top
_205,168.91,-106.71,270.0,top
_204,166.37,-104.16,270.0,top
_203,181.61,-106.71,270.0,top
_202,171.45,-104.16,270.0,top
_201,212.09,-106.71,0.0,top
_200,161.29,-104.16,270.0,top
_199,163.83,-104.16,270.0,top
_198,196.85,-106.71,270.0,top
_197,173.99,-104.16,270.0,top
_196,184.15,-104.16,270.0,top
_195,201.93,-104.16,270.0,top
_194,186.69,-104.16,270.0,top
_193,204.47,-104.16,270.0,top
_192,189.23,-104.16,270.0,top
_191,209.55,-104.16,270.0,top
_190,194.31,-104.16,270.0,top
_189,199.39,-104.16,270.0,top
_188,179.07,-104.16,270.0,top
_187,191.77,-104.16,270.0,top
_186,176.53,-104.16,270.0,top
_185,207.01,-104.16,270.0,top
_184,196.85,-104.16,270.0,top
_183,168.91,-104.16,270.0,top
_182,181.61,-104.16,270.0,top
_181,151.13,-116.86,270.0,top
_180,143.51,-116.86,270.0,top
_179,148.59,-116.86,270.0,top
_178,158.75,-116.86,270.0,top
_177,146.05,-114.32,270.0,top
_176,146.05,-116.86,270.0,top
_175,156.21,-116.86,270.0,top
_174,153.67,-116.86,270.0,top
_173,143.51,-114.32,270.0,top
_172,158.75,-114.32,270.0,top
_171,148.59,-114.32,270.0,top
_170,146.05,-111.77,270.0,top
_169,158.75,-111.77,270.0,top
_168,143.51,-111.77,270.0,top
_167,153.67,-111.77,270.0,top
_166,153.67,-114.32,270.0,top
_165,151.13,-114.32,270.0,top
_164,156.21,-114.32,270.0,top
_163,151.13,-111.77,270.0,top
_162,148.59,-111.77,270.0,top
_161,171.45,-116.86,270.0,top
_160,163.83,-116.86,270.0,top
_159,173.99,-116.86,270.0,top
_158,184.15,-116.86,270.0,top
_157,204.47,-116.86,270.0,top
_156,186.69,-116.86,270.0,top
_155,156.21,-111.77,270.0,top
_154,166.37,-116.86,270.0,top
_153,161.29,-116.86,270.0,top
_152,201.93,-116.86,270.0,top
_151,189.23,-116.86,270.0,top
_150,194.31,-116.86,270.0,top
_149,179.07,-116.86,270.0,top
_148,207.01,-116.86,270.0,top
_147,196.85,-116.86,270.0,top
_146,181.61,-116.86,270.0,top
_145,168.91,-116.86,270.0,top
_144,176.53,-116.86,270.0,top
_143,209.55,-116.86,270.0,top
_142,199.39,-116.86,270.0,top
_141,191.77,-116.86,270.0,top
_140,166.37,-114.32,270.0,top
_139,161.29,-114.32,270.0,top
_138,173.99,-114.32,270.0,top
_137,209.55,-114.32,270.0,top
_136,201.93,-114.32,270.0,top
_135,186.69,-114.32,270.0,top
_134,163.83,-114.32,270.0,top
_133,184.15,-114.32,270.0,top
_132,204.47,-114.32,270.0,top
_131,171.45,-114.32,270.0,top
_130,189.23,-114.32,270.0,top
_129,199.39,-114.32,270.0,top
_128,194.31,-114.32,270.0,top
_127,179.07,-114.32,270.0,top
_126,191.77,-114.32,270.0,top
_125,176.53,-114.32,270.0,top
_124,207.01,-114.32,270.0,top
_123,168.91,-114.32,270.0,top
_122,166.37,-111.77,270.0,top
_121,181.61,-114.32,270.0,top
_120,171.45,-111.77,270.0,top
_119,161.29,-111.77,270.0,top
_118,163.83,-111.77,270.0,top
_117,196.85,-114.32,270.0,top
_116,173.99,-111.77,270.0,top
_115,184.15,-111.77,270.0,top
_114,201.93,-111.77,270.0,top
_113,186.69,-111.77,270.0,top
_112,204.47,-111.77,270.0,top
_111,189.23,-111.77,270.0,top
_110,209.55,-111.77,270.0,top
_109,194.31,-111.77,270.0,top
_108,199.39,-111.77,270.0,top
_107,179.07,-111.77,270.0,top
_106,191.77,-111.77,270.0,top
_105,176.53,-111.77,270.0,top
_104,207.01,-111.77,270.0,top
_103,196.85,-111.77,270.0,top
_102,168.91,-111.77,270.0,top
_101,181.61,-111.77,270.0,top
_100,212.09,-99.08,0.0,top
_99,212.09,-83.84,0.0,top
_98,212.09,-111.78,0.0,top
_97,212.09,-96.54,0.0,top
_96,212.09,-94.0,0.0,top
_95,212.09,-88.92,0.0,top
_94,212.09,-104.16,0.0,top
_93,212.09,-68.6,0.0,top
_92,212.09,-86.38,0.0,top
_91,212.09,-71.14,0.0,top
_90,212.09,-114.32,0.0,top
_89,181.61,-119.4,270.0,top
_88,168.91,-119.4,270.0,top
_87,212.09,-109.24,0.0,top
_86,196.85,-119.4,270.0,top
_85,212.09,-116.86,0.0,top
_84,212.09,-101.62,0.0,top
_83,212.09,-119.4,0.0,top
_82,212.09,-106.7,0.0,top
_81,207.01,-119.4,270.0,top
_80,176.53,-119.4,270.0,top
_79,191.77,-119.4,270.0,top
_78,179.07,-119.4,270.0,top
_77,199.39,-119.4,270.0,top
_76,194.31,-119.4,270.0,top
_75,209.55,-119.4,270.0,top
_74,189.23,-119.4,270.0,top
_73,204.47,-119.4,270.0,top
_72,186.69,-119.4,270.0,top
_71,201.93,-119.4,270.0,top
_70,184.15,-119.4,270.0,top
_69,173.99,-119.4,270.0,top
_68,196.85,-121.95,270.0,top
_67,163.83,-119.4,270.0,top
_66,161.29,-119.4,270.0,top
_65,212.09,-121.95,0.0,top
_64,212.09,-124.49,0.0,top
_63,171.45,-119.4,270.0,top
_62,181.61,-121.95,270.0,top
_61,166.37,-119.4,270.0,top
_60,168.91,-121.95,270.0,top
_59,207.01,-121.95,270.0,top
_58,176.53,-121.95,270.0,top
_57,191.77,-121.95,270.0,top
_56,179.07,-121.95,270.0,top
_55,194.31,-121.95,270.0,top
_54,199.39,-121.95,270.0,top
_53,189.23,-121.95,270.0,top
_52,171.45,-121.95,270.0,top
_51,204.47,-121.95,270.0,top
_50,184.15,-121.95,270.0,top
_49,163.83,-121.95,270.0,top
_48,186.69,-121.95,270.0,top
_47,201.93,-121.95,270.0,top
_46,209.55,-121.95,270.0,top
_45,173.99,-121.95,270.0,top
_44,161.29,-121.95,270.0,top
_43,166.37,-121.95,270.0,top
_42,191.77,-124.49,270.0,top
